subject	 trial	 soa	 response
gs 	134 	0.2 	1
gs 	135 	0.0 	1
gs 	136 	0.05 	1
gs 	137 	-0.05 	1
gs 	138 	-0.2 	1
gs 	139 	0.1 	1
gs 	140 	0.15 	1
gs 	141 	-0.15 	0
gs 	142 	-0.1 	0
gs 	143 	-0.25 	0
gs 	144 	0.1 	1
gs 	145 	-0.2 	0
gs 	146 	0.0 	0
gs 	147 	0.05 	1
gs 	148 	0.2 	1
gs 	149 	-0.05 	0
gs 	150 	-0.1 	0
gs 	151 	0.25 	1
gs 	152 	0.15 	1
gs 	153 	-0.25 	0
gs 	154 	-0.15 	0
gs 	155 	-0.25 	0
gs 	156 	0.05 	0
gs 	157 	-0.05 	0
gs 	158 	-0.2 	1
gs 	159 	0.25 	1
gs 	160 	-0.1 	0
gs 	161 	0.1 	0
gs 	162 	0.0 	0
gs 	163 	-0.15 	0
gs 	164 	0.15 	1
gs 	165 	0.2 	1
gs 	166 	0.25 	1
gs 	167 	0.2 	1
gs 	168 	-0.1 	1
gs 	169 	0.15 	1
gs 	170 	-0.15 	0
gs 	171 	0.0 	1
gs 	172 	0.05 	1
gs 	173 	-0.25 	0
gs 	174 	-0.2 	0
gs 	175 	-0.05 	0
gs 	176 	0.1 	1
gs 	177 	-0.2 	0
gs 	178 	-0.05 	0
gs 	179 	0.15 	1
gs 	180 	0.0 	1
gs 	181 	0.25 	1
gs 	182 	-0.25 	1
gs 	183 	-0.1 	0
gs 	184 	0.2 	1
gs 	185 	0.1 	0
gs 	186 	0.05 	1
gs 	187 	-0.15 	0
gs 	188 	0.25 	1
gs 	189 	0.05 	1
gs 	190 	-0.1 	0
gs 	191 	0.15 	1
gs 	192 	-0.15 	0
gs 	193 	0.2 	1
gs 	194 	-0.2 	1
gs 	195 	0.0 	0
gs 	196 	-0.05 	0
gs 	197 	0.1 	0
gs 	198 	-0.25 	0
gs 	199 	0.1 	0
gs 	200 	0.0 	0
gs 	201 	-0.2 	0
gs 	202 	-0.15 	0
gs 	203 	0.15 	1
gs 	204 	0.2 	1
gs 	205 	0.25 	1
gs 	206 	-0.05 	1
gs 	207 	-0.25 	0
gs 	208 	-0.1 	0
gs 	209 	0.05 	0
gs 	210 	-0.25 	0
gs 	211 	0.2 	1
gs 	212 	0.05 	0
gs 	213 	0.15 	1
gs 	214 	-0.05 	0
gs 	215 	-0.2 	0
gs 	216 	0.0 	0
gs 	217 	-0.15 	0
gs 	218 	-0.1 	0
gs 	219 	0.1 	1
gs 	220 	0.25 	1
