subject	 trial	 soa	 response
gs 	98 	0.2 	0
gs 	99 	-0.15 	0
gs 	100 	-0.25 	0
gs 	101 	0.1 	0
gs 	102 	0.2 	0
gs 	103 	0.15 	0
gs 	104 	0.25 	0
gs 	105 	0.05 	1
gs 	106 	-0.05 	1
gs 	107 	-0.15 	0
gs 	108 	0.0 	1
gs 	109 	-0.1 	1
gs 	110 	-0.2 	0
gs 	111 	-0.05 	1
gs 	112 	-0.1 	1
gs 	113 	0.15 	0
gs 	114 	0.2 	0
gs 	115 	0.25 	0
gs 	116 	0.1 	1
gs 	117 	-0.2 	0
gs 	118 	-0.15 	1
gs 	119 	0.05 	1
gs 	120 	0.0 	1
gs 	121 	-0.25 	0
gs 	122 	-0.2 	0
gs 	123 	-0.25 	0
gs 	124 	-0.05 	1
gs 	125 	0.05 	1
gs 	126 	-0.1 	0
gs 	127 	0.2 	0
gs 	128 	-0.15 	0
gs 	129 	0.25 	0
gs 	130 	0.1 	1
gs 	131 	0.0 	1
gs 	132 	0.15 	0
gs 	133 	-0.1 	0
gs 	134 	0.0 	1
gs 	135 	0.15 	0
gs 	136 	-0.25 	0
gs 	137 	-0.15 	0
gs 	138 	0.05 	1
gs 	139 	0.1 	1
gs 	140 	0.2 	0
gs 	141 	-0.2 	0
gs 	142 	-0.05 	1
gs 	143 	0.25 	0
gs 	144 	0.2 	0
gs 	145 	-0.2 	0
gs 	146 	-0.05 	1
gs 	147 	-0.1 	1
gs 	148 	0.15 	0
gs 	149 	0.0 	1
gs 	150 	-0.15 	0
gs 	151 	-0.25 	0
gs 	152 	0.25 	0
gs 	153 	0.1 	0
gs 	154 	0.05 	0
gs 	155 	-0.1 	0
gs 	156 	-0.25 	0
gs 	157 	0.1 	0
gs 	158 	0.2 	0
gs 	159 	0.05 	0
gs 	160 	-0.05 	1
gs 	161 	0.25 	0
gs 	162 	-0.2 	0
gs 	163 	-0.15 	0
gs 	164 	0.0 	0
gs 	165 	0.15 	0
gs 	166 	0.0 	0
gs 	167 	0.15 	0
gs 	168 	-0.2 	0
gs 	169 	0.05 	1
gs 	170 	-0.1 	0
gs 	171 	-0.25 	0
gs 	172 	-0.15 	1
gs 	173 	0.25 	0
gs 	174 	0.1 	1
