trial	soa	soundFirst	response	sta
68	1.6	0	1	1.2
69	0.8	0	0	1.2
70	2.4	0	1	1.2
71	2.4	0	1	1.2
72	0.8	0	0	1.2
73	2	0	1	1.2
74	1	0	0	1.2
75	1.6	0	1	1.2
76	1.2	0	0	1.2
77	0.6	0	0	1.2
78	2	0	1	1.2
79	1.6	0	1	1.2
80	0.8	0	0	1.2
81	0.6	0	0	1.2
82	2.4	0	1	1.2
83	1.2	0	1	1.2
84	1	0	0	1.2
85	1.2	0	0	1.2
86	0.8	0	0	1.2
87	2.4	0	1	1.2
88	1.6	0	1	1.2
89	1	0	0	1.2
90	0.6	0	0	1.2
91	2	0	1	1.2
92	1	0	0	1.2
93	0.8	0	0	1.2
94	2	0	1	1.2
95	1.6	0	1	1.2
96	2.4	0	1	1.2
97	0.6	0	0	1.2
98	1.2	0	1	1.2
99	1.6	0	1	1.2
100	2.4	0	1	1.2
101	2	0	1	1.2
102	1.2	0	1	1.2
103	1	0	0	1.2
104	0.8	0	0	1.2
105	0.6	0	0	1.2
106	1.6	0	1	1.2
107	0.6	0	0	1.2
108	1.2	0	1	1.2
109	1	0	0	1.2
110	2.4	0	1	1.2
111	2	0	1	1.2
112	0.8	0	0	1.2
113	1.6	0	1	1.2
114	0.8	0	0	1.2
115	1	0	0	1.2
116	2	0	1	1.2
117	0.6	0	0	1.2
118	2.4	0	1	1.2
119	1.2	0	1	1.2
120	2	0	1	1.2
121	0.8	0	0	1.2
122	1.6	0	1	1.2
123	0.6	0	0	1.2
124	1.2	0	1	1.2
125	2.4	0	1	1.2
126	1	0	0	1.2
127	2	0	1	1.2
128	2.4	0	1	1.2
129	1	0	0	1.2
130	0.8	0	0	1.2
131	1.2	0	1	1.2
132	0.6	0	0	1.2
133	1.6	0	1	1.2
134	2.4	0	1	1.2
135	0.6	0	0	1.2
136	1	0	0	1.2
137	2	0	1	1.2
138	1.2	0	1	1.2
139	1.6	0	1	1.2
140	0.8	0	0	1.2
1	0.8	0	0	1.2
2	0.6	0	0	1.2
3	1.6	0	1	1.2
4	2.4	0	1	1.2
5	1.2	0	1	1.2
6	1	0	0	1.2
7	2	0	1	1.2
8	2	0	1	1.2
9	0.6	0	0	1.2
10	2.4	0	1	1.2
11	1	0	0	1.2
12	1.2	0	1	1.2
13	1.6	0	1	1.2
14	0.8	0	0	1.2
15	1.2	0	1	1.2
16	0.8	0	0	1.2
17	0.6	0	0	1.2
18	2.4	0	1	1.2
19	1.6	0	1	1.2
20	1	0	0	1.2
21	2	0	1	1.2
22	0.6	0	0	1.2
23	0.8	0	0	1.2
24	2	0	1	1.2
25	1.6	0	1	1.2
26	2.4	0	1	1.2
27	1	0	0	1.2
28	1.2	0	1	1.2
29	0.6	0	0	1.2
30	2.4	0	1	1.2
31	1	0	0	1.2
32	0.8	0	0	1.2
33	2	0	1	1.2
34	1.2	0	0	1.2
35	1.6	0	1	1.2
36	0.6	0	0	1.2
37	1.6	0	1	1.2
38	1	0	0	1.2
39	2	0	1	1.2
40	2.4	0	1	1.2
41	0.8	0	0	1.2
42	1.2	0	0	1.2
43	0.6	0	0	1.2
44	1.2	0	1	1.2
45	1.6	0	1	1.2
46	0.8	0	0	1.2
47	1	0	0	1.2
48	2.4	0	1	1.2
49	2	0	1	1.2
50	1	0	0	1.2
51	0.6	0	0	1.2
52	1.2	0	1	1.2
53	1.6	0	1	1.2
54	2.4	0	1	1.2
55	0.8	0	0	1.2
56	2	0	1	1.2
57	0.6	0	0	1.2
58	2	0	1	1.2
59	1.6	0	1	1.2
60	1.2	0	1	1.2
61	1	0	1	1.2
62	0.8	0	0	1.2
63	2.4	0	1	1.2
64	1	0	0	1.2
65	2.4	0	1	1.2
66	0.8	0	0	1.2
67	1.2	0	0	1.2
68	2	0	1	1.2
69	1.6	0	1	1.2
70	0.6	0	0	1.2
71	2	0	1	1.2
72	2.4	0	1	1.2
73	1.6	0	1	1.2
74	0.6	0	0	1.2
75	0.8	0	0	1.2
76	1.2	0	1	1.2
77	1	0	0	1.2
78	0.8	0	0	1.2
79	1	0	0	1.2
80	1.6	0	1	1.2
81	2	0	1	1.2
82	0.6	0	0	1.2
83	1.2	0	1	1.2
84	2.4	0	1	1.2
85	1.6	0	1	1.2
86	1.2	0	0	1.2
87	0.6	0	0	1.2
88	1	0	0	1.2
89	0.8	0	0	1.2
90	2	0	1	1.2
91	2.4	0	1	1.2
92	0.6	0	0	1.2
93	1.2	0	1	1.2
94	2.4	0	1	1.2
95	1	0	1	1.2
96	0.8	0	0	1.2
97	2	0	1	1.2
98	1.6	0	1	1.2
99	0.6	0	0	1.2
100	1.6	0	1	1.2
101	2	0	1	1.2
102	1.2	0	0	1.2
103	0.8	0	0	1.2
104	2.4	0	1	1.2
105	1	0	0	1.2
106	1.2	0	0	1.2
107	1	0	1	1.2
108	2	0	1	1.2
109	2.4	0	1	1.2
110	0.6	0	0	1.2
111	0.8	0	0	1.2
112	1.6	0	1	1.2
113	0.8	0	0	1.2
114	1.2	0	1	1.2
115	1	0	0	1.2
116	2.4	0	1	1.2
117	1.6	0	1	1.2
118	2	0	1	1.2
119	0.6	0	0	1.2
120	2	0	1	1.2
121	1	0	0	1.2
122	0.6	0	0	1.2
123	2.4	0	1	1.2
124	0.8	0	0	1.2
125	1.2	0	0	1.2
126	1.6	0	1	1.2
127	0.6	0	0	1.2
128	0.8	0	0	1.2
129	2.4	0	1	1.2
130	1	0	0	1.2
131	1.2	0	0	1.2
132	2	0	1	1.2
133	1.6	0	1	1.2
134	1.2	0	0	1.2
135	0.8	0	0	1.2
136	1.6	0	1	1.2
137	2	0	1	1.2
138	2.4	0	1	1.2
139	0.6	0	0	1.2
140	1	0	0	1.2
1	0.6	1	0	1.2
2	1.2	1	1	1.2
3	0.8	1	0	1.2
4	2	1	1	1.2
5	1.6	1	1	1.2
6	2.4	1	1	1.2
7	1	1	0	1.2
8	0.8	1	0	1.2
9	2.4	1	1	1.2
10	1.2	1	1	1.2
11	2	1	1	1.2
12	1.6	1	1	1.2
13	0.6	1	0	1.2
14	1	1	0	1.2
15	0.6	1	0	1.2
16	1.6	1	1	1.2
17	2	1	1	1.2
18	0.8	1	0	1.2
19	1.2	1	0	1.2
20	2.4	1	1	1.2
21	1	1	0	1.2
22	0.8	1	0	1.2
23	0.6	1	0	1.2
24	1.6	1	1	1.2
25	1.2	1	1	1.2
26	1	1	0	1.2
27	2	1	1	1.2
28	2.4	1	1	1.2
29	2	1	1	1.2
30	1	1	0	1.2
31	2.4	1	1	1.2
32	0.8	1	0	1.2
33	1.6	1	1	1.2
34	1.2	1	0	1.2
35	0.6	1	0	1.2
36	2.4	1	1	1.2
37	1.2	1	0	1.2
38	0.6	1	0	1.2
39	0.8	1	0	1.2
40	2	1	1	1.2
41	1	1	0	1.2
42	1.6	1	1	1.2
43	1.2	1	0	1.2
44	0.8	1	0	1.2
45	1.6	1	1	1.2
46	0.6	1	0	1.2
47	2	1	1	1.2
48	1	1	0	1.2
49	2.4	1	1	1.2
50	1.6	1	1	1.2
51	0.8	1	0	1.2
52	2.4	1	1	1.2
53	0.6	1	0	1.2
54	2	1	1	1.2
55	1.2	1	1	1.2
56	1	1	0	1.2
57	2.4	1	1	1.2
58	0.6	1	0	1.2
59	1	1	0	1.2
60	1.6	1	1	1.2
61	2	1	1	1.2
62	1.2	1	0	1.2
63	0.8	1	0	1.2
64	2	1	1	1.2
65	1.2	1	0	1.2
66	0.6	1	0	1.2
67	0.8	1	0	1.2
68	1.6	1	1	1.2
69	2.4	1	1	1.2
70	1	1	0	1.2
71	0.6	1	0	1.2
72	1	1	0	1.2
73	1.2	1	1	1.2
74	1.6	1	1	1.2
75	2	1	1	1.2
76	2.4	1	1	1.2
77	0.8	1	0	1.2
78	1.6	1	1	1.2
79	1	1	0	1.2
80	0.8	1	0	1.2
81	2.4	1	1	1.2
82	2	1	1	1.2
83	1.2	1	1	1.2
84	0.6	1	0	1.2
85	1.6	1	1	1.2
86	0.6	1	0	1.2
87	1	1	0	1.2
88	1.2	1	1	1.2
89	2.4	1	1	1.2
90	0.8	1	0	1.2
91	2	1	1	1.2
92	1.6	1	1	1.2
93	1.2	1	1	1.2
94	2.4	1	1	1.2
95	0.6	1	0	1.2
96	2	1	1	1.2
97	0.8	1	0	1.2
98	1	1	0	1.2
99	2.4	1	1	1.2
100	2	1	1	1.2
101	0.8	1	0	1.2
102	0.6	1	0	1.2
103	1	1	0	1.2
104	1.2	1	1	1.2
105	1.6	1	1	1.2
106	1.2	1	0	1.2
107	0.8	1	0	1.2
108	0.6	1	0	1.2
109	1	1	0	1.2
110	2	1	1	1.2
111	2.4	1	1	1.2
112	1.6	1	1	1.2
113	2.4	1	1	1.2
114	0.8	1	0	1.2
115	1	1	0	1.2
116	0.6	1	0	1.2
117	1.6	1	1	1.2
118	2	1	1	1.2
119	1.2	1	0	1.2
120	2.4	1	1	1.2
121	1.6	1	1	1.2
122	0.8	1	0	1.2
123	2	1	1	1.2
124	1	1	0	1.2
125	1.2	1	1	1.2
126	0.6	1	0	1.2
127	0.8	1	0	1.2
128	1.6	1	1	1.2
129	0.6	1	0	1.2
130	1.2	1	1	1.2
131	1	1	0	1.2
132	2	1	1	1.2
133	2.4	1	1	1.2
134	2	1	1	1.2
135	1	1	0	1.2
136	0.6	1	0	1.2
137	1.2	1	1	1.2
138	0.8	1	0	1.2
139	1.6	1	1	1.2
140	2.4	1	1	1.2
1	0.5	1	0	0.6
2	1.2	1	1	0.6
3	0.4	1	0	0.6
4	0.8	1	1	0.6
5	0.6	1	0	0.6
6	1	1	1	0.6
7	0.3	1	0	0.6
8	0.6	1	0	0.6
9	1	1	1	0.6
10	0.8	1	0	0.6
11	0.4	1	0	0.6
12	0.3	1	0	0.6
13	0.5	1	0	0.6
14	1.2	1	1	0.6
15	1.2	1	1	0.6
16	0.4	1	0	0.6
17	1	1	1	0.6
18	0.6	1	0	0.6
19	0.5	1	0	0.6
20	0.8	1	1	0.6
21	0.3	1	0	0.6
22	0.4	1	0	0.6
23	0.8	1	1	0.6
24	1	1	1	0.6
25	0.6	1	0	0.6
26	0.3	1	0	0.6
27	0.5	1	0	0.6
28	1.2	1	1	0.6
29	0.8	1	1	0.6
30	1.2	1	1	0.6
31	1	1	1	0.6
32	0.6	1	0	0.6
33	0.5	1	0	0.6
34	0.3	1	0	0.6
35	0.4	1	0	0.6
36	1	1	1	0.6
37	0.3	1	0	0.6
38	1.2	1	1	0.6
39	0.8	1	0	0.6
40	0.5	1	0	0.6
41	0.6	1	0	0.6
42	0.4	1	0	0.6
43	1.2	1	1	0.6
44	0.4	1	0	0.6
45	0.3	1	0	0.6
46	0.8	1	1	0.6
47	0.6	1	0	0.6
48	0.5	1	0	0.6
49	1	1	1	0.6
50	1.2	1	1	0.6
51	0.8	1	0	0.6
52	1	1	1	0.6
53	0.4	1	0	0.6
54	0.3	1	0	0.6
55	0.5	1	0	0.6
56	0.6	1	0	0.6
57	0.5	1	0	0.6
58	0.3	1	0	0.6
59	0.4	1	1	0.6
60	0.6	1	0	0.6
61	1	1	1	0.6
62	1.2	1	1	0.6
63	0.8	1	1	0.6
64	0.8	1	1	0.6
65	0.5	1	0	0.6
66	1.2	1	1	0.6
67	1	1	1	0.6
68	0.4	1	0	0.6
69	0.3	1	0	0.6
70	0.6	1	0	0.6
71	1.2	1	1	0.6
72	1	1	1	0.6
73	0.4	1	0	0.6
74	0.5	1	0	0.6
75	0.8	1	0	0.6
76	0.6	1	0	0.6
77	0.3	1	0	0.6
78	1	1	1	0.6
79	0.3	1	0	0.6
80	0.5	1	0	0.6
81	0.8	1	1	0.6
82	1.2	1	1	0.6
83	0.4	1	0	0.6
84	0.6	1	0	0.6
85	0.8	1	0	0.6
86	0.4	1	0	0.6
87	1	1	1	0.6
88	0.6	1	0	0.6
89	0.5	1	0	0.6
90	1.2	1	1	0.6
91	0.3	1	0	0.6
92	0.4	1	0	0.6
93	1.2	1	1	0.6
94	0.8	1	0	0.6
95	1	1	1	0.6
96	0.3	1	0	0.6
97	0.5	1	0	0.6
98	0.6	1	0	0.6
99	1.2	1	1	0.6
100	0.8	1	0	0.6
101	0.6	1	0	0.6
102	1	1	1	0.6
103	0.3	1	0	0.6
104	0.5	1	0	0.6
105	0.4	1	0	0.6
106	0.4	1	0	0.6
107	1	1	1	0.6
108	0.8	1	0	0.6
109	0.6	1	0	0.6
110	0.5	1	0	0.6
111	1.2	1	1	0.6
112	0.3	1	0	0.6
113	0.6	1	0	0.6
114	1	1	1	0.6
115	0.4	1	0	0.6
116	0.5	1	0	0.6
117	0.3	1	0	0.6
118	1.2	1	1	0.6
119	0.8	1	1	0.6
120	1	1	1	0.6
121	0.4	1	0	0.6
122	0.5	1	0	0.6
123	1.2	1	1	0.6
124	0.6	1	0	0.6
125	0.8	1	0	0.6
126	0.3	1	0	0.6
127	0.8	1	1	0.6
128	0.6	1	0	0.6
129	1.2	1	1	0.6
130	0.4	1	0	0.6
131	1	1	1	0.6
