subject	 trial	 soa	 response
AL 	187 	0.0 	0
AL 	188 	-0.2 	0
AL 	189 	0.2 	0
AL 	190 	0.15 	1
AL 	191 	0.25 	1
AL 	192 	0.1 	1
AL 	193 	-0.15 	1
AL 	194 	-0.25 	0
AL 	195 	0.05 	1
AL 	196 	-0.1 	0
AL 	197 	0.0 	1
AL 	198 	-0.05 	1
AL 	199 	0.2 	1
AL 	200 	-0.25 	0
AL 	201 	0.0 	1
AL 	202 	-0.05 	1
AL 	203 	0.05 	0
AL 	204 	0.15 	1
AL 	205 	-0.1 	1
AL 	206 	-0.15 	0
AL 	207 	0.1 	1
AL 	208 	-0.2 	0
AL 	209 	0.25 	1
AL 	210 	0.05 	1
AL 	211 	0.0 	0
AL 	212 	-0.1 	0
AL 	213 	0.2 	1
AL 	214 	-0.15 	0
AL 	215 	-0.25 	0
AL 	216 	-0.2 	0
AL 	217 	-0.05 	0
AL 	218 	0.25 	1
AL 	219 	0.15 	1
AL 	220 	0.1 	1
