subject	 trial	 soa	 response
AL 	184 	-0.25 	1
AL 	185 	-0.1 	1
AL 	186 	-0.15 	1
AL 	187 	-0.05 	1
AL 	188 	-0.2 	0
AL 	189 	0.0 	1
AL 	190 	-0.1 	1
AL 	191 	-0.05 	1
AL 	192 	0.05 	1
AL 	193 	-0.25 	0
AL 	194 	0.15 	0
AL 	195 	0.1 	0
AL 	196 	0.2 	0
AL 	197 	0.25 	0
AL 	198 	-0.15 	1
AL 	199 	0.1 	1
AL 	200 	-0.25 	1
AL 	201 	0.15 	0
AL 	202 	-0.05 	1
AL 	203 	-0.1 	0
AL 	204 	0.25 	0
AL 	205 	-0.2 	0
AL 	206 	-0.15 	1
AL 	207 	0.2 	0
AL 	208 	0.0 	1
AL 	209 	0.05 	0
AL 	210 	0.05 	1
AL 	211 	0.15 	0
AL 	212 	-0.2 	1
AL 	213 	0.25 	0
AL 	214 	0.2 	1
AL 	215 	-0.05 	0
AL 	216 	0.0 	1
AL 	217 	0.1 	1
AL 	218 	-0.15 	1
AL 	219 	-0.25 	0
AL 	220 	-0.1 	1
