subject	 trial	 soa	 response
sn 	91 	0.05 	1
sn 	92 	0.1 	1
sn 	93 	0.2 	0
sn 	94 	-0.05 	1
sn 	95 	-0.2 	0
sn 	96 	0.0 	1
sn 	97 	-0.1 	0
sn 	98 	0.15 	0
sn 	99 	0.25 	0
sn 	100 	-0.2 	0
sn 	101 	0.1 	1
sn 	102 	0.25 	0
sn 	103 	-0.15 	0
sn 	104 	-0.25 	0
sn 	105 	-0.1 	0
sn 	106 	0.2 	0
sn 	107 	0.05 	1
sn 	108 	0.15 	0
sn 	109 	-0.05 	1
sn 	110 	0.0 	1
sn 	111 	0.05 	0
sn 	112 	0.15 	0
sn 	113 	0.2 	0
sn 	114 	-0.15 	1
sn 	115 	-0.05 	1
sn 	116 	-0.25 	0
sn 	117 	0.1 	0
sn 	118 	-0.2 	0
sn 	119 	0.25 	0
sn 	120 	0.0 	0
sn 	121 	-0.1 	1
sn 	122 	0.05 	1
sn 	123 	0.0 	1
sn 	124 	-0.1 	0
sn 	125 	-0.05 	1
sn 	126 	-0.2 	0
sn 	127 	0.25 	0
sn 	128 	-0.25 	0
sn 	129 	0.2 	0
sn 	130 	0.15 	0
sn 	131 	-0.15 	0
sn 	132 	0.1 	0
sn 	133 	0.05 	0
sn 	134 	0.15 	0
sn 	135 	0.1 	1
sn 	136 	-0.15 	0
sn 	137 	0.2 	0
sn 	138 	-0.25 	0
sn 	139 	-0.1 	0
sn 	140 	-0.2 	0
sn 	141 	0.25 	0
sn 	142 	-0.05 	1
sn 	143 	0.0 	1
sn 	144 	0.2 	0
sn 	145 	-0.25 	0
sn 	146 	-0.1 	1
sn 	147 	-0.15 	0
sn 	148 	0.25 	0
sn 	149 	0.0 	1
sn 	150 	-0.05 	1
sn 	151 	0.05 	1
sn 	152 	-0.2 	0
sn 	153 	0.15 	0
sn 	154 	0.1 	1
sn 	155 	-0.1 	0
sn 	156 	0.0 	1
sn 	157 	0.05 	1
sn 	158 	-0.25 	0
sn 	159 	0.1 	1
sn 	160 	-0.2 	0
sn 	161 	0.2 	0
sn 	162 	0.15 	0
sn 	163 	-0.15 	0
sn 	164 	-0.05 	1
sn 	165 	0.25 	0
sn 	166 	0.05 	1
sn 	167 	0.0 	1
sn 	168 	-0.1 	0
sn 	169 	0.15 	0
sn 	170 	-0.2 	0
sn 	171 	0.25 	0
sn 	172 	-0.15 	1
sn 	173 	0.1 	0
sn 	174 	-0.05 	1
sn 	175 	0.2 	0
sn 	176 	-0.25 	0
sn 	177 	0.2 	0
sn 	178 	-0.05 	1
sn 	179 	0.1 	1
sn 	180 	0.05 	1
sn 	181 	0.0 	1
sn 	182 	-0.2 	0
sn 	183 	0.15 	0
sn 	184 	0.25 	0
sn 	185 	-0.25 	0
sn 	186 	-0.1 	0
sn 	187 	-0.15 	1
sn 	188 	0.0 	1
sn 	189 	0.2 	0
sn 	190 	0.25 	0
sn 	191 	-0.2 	0
sn 	192 	-0.15 	0
sn 	193 	0.15 	1
sn 	194 	-0.05 	1
sn 	195 	-0.1 	1
sn 	196 	-0.25 	1
sn 	197 	0.1 	0
sn 	198 	0.05 	1
sn 	199 	-0.25 	0
sn 	200 	0.25 	0
sn 	201 	-0.1 	1
